Country,Index Level,Index Ranking December 2024,Deadliness Ranking,Diffusion Ranking,Danger Ranking,Fragmentation Ranking,Deadliness Value,Diffusion Value,Danger Value,Fragmentation Value,Deadliness Value Scaled,Diffusion Value Scaled,Danger Value Scaled,Fragmentation Value Scaled,Total Score
Benin,Turbulent,45,42,33,36,59,233,0.002,196,5,0.00344644,0.002793296,0.027960057,0.002986858,0.037
Madagascar,Turbulent,47,31,38,33,72,498,0.001,233,3,0.00736621,0.001396648,0.033238231,0.001792115,0.044
Ghana,Turbulent,48,45,38,46,52,141,0.001,145,7,0.002085614,0.001396648,0.020684736,0.004181601,0.028
Iran,Turbulent,49,35,51,55,45,354,0,61,9,0.005236222,0,0.008701854,0.005376344,0.019
Chad,Turbulent,50,34,51,60,49,461,0,45,8,0.006818921,0,0.006419401,0.004778973,0.018
Nepal,Low/Inactive,51,84,38,52,24,6,0.001,81,17,8.87495E-05,0.001396648,0.011554922,0.010155317,0.023
Chile,Low/Inactive,52,63,51,51,36,24,0,84,12,0.000354998,0,0.011982882,0.007168459,0.02
Sri Lanka,Low/Inactive,53,81,51,59,27,7,0,47,15,0.000103541,0,0.006704708,0.008960573,0.016
Papua New Guinea,Low/Inactive,54,36,51,53,84,351,0,74,2,0.005191847,0,0.010556348,0.001194743,0.017
United States,Low/Inactive,54,60,51,48,65,29,0,115,4,0.000428956,0,0.016405136,0.002389486,0.019
Belize,Low/Inactive,56,61,26,68,72,25,0.004,38,3,0.00036979,0.005586592,0.005420827,0.001792115,0.013
Malawi,Low/Inactive,57,54,51,54,72,56,0,66,3,0.000828329,0,0.009415121,0.001792115,0.012
Bolivia,Low/Inactive,57,64,51,57,59,23,0,49,5,0.000340206,0,0.006990014,0.002986858,0.01
France,Low/Inactive,57,73,51,62,45,10,0,44,9,0.000147916,0,0.006276748,0.005376344,0.012
Greece,Low/Inactive,60,84,38,65,45,6,0.001,41,9,8.87495E-05,0.001396648,0.005848787,0.005376344,0.013
China,Low/Inactive,61,77,51,41,65,9,0,181,4,0.000133124,0,0.025820257,0.002389486,0.028
Tanzania,Low/Inactive,62,61,51,63,65,25,0,43,4,0.00036979,0,0.006134094,0.002389486,0.009
Angola,Low/Inactive,63,49,51,69,72,98,0,34,3,0.001449575,0,0.004850214,0.001792115,0.008
Ivory Coast,Low/Inactive,64,69,51,63,59,14,0,43,5,0.000207082,0,0.006134094,0.002986858,0.009
Germany,Low/Inactive,64,81,51,58,52,7,0,48,7,0.000103541,0,0.006847361,0.004181601,0.011
Togo,Low/Inactive,66,50,51,77,65,91,0,19,4,0.001346034,0,0.002710414,0.002389486,0.006
Senegal,Low/Inactive,66,67,51,83,42,18,0,15,10,0.000266249,0,0.0021398,0.005973716,0.008
El Salvador,Low/Inactive,68,64,51,85,49,23,0,13,8,0.000340206,0,0.001854494,0.004778973,0.007
Guinea,Low/Inactive,69,58,51,60,96,33,0,45,1,0.000488122,0,0.006419401,0.000597372,0.008
Zimbabwe,Low/Inactive,70,66,51,65,84,20,0,41,2,0.000295832,0,0.005848787,0.001194743,0.007
eSwatini,Low/Inactive,71,77,51,84,56,9,0,14,6,0.000133124,0,0.001997147,0.003584229,0.006
Serbia,Low/Inactive,71,95,51,77,45,3,0,19,9,4.43748E-05,0,0.002710414,0.005376344,0.008
Dominican Republic,Low/Inactive,73,71,51,75,72,11,0,21,3,0.000162707,0,0.00299572,0.001792115,0.005
Morocco,Low/Inactive,74,56,51,91,72,43,0,10,3,0.000636038,0,0.001426534,0.001792115,0.004
Thailand,Low/Inactive,75,53,51,72,96,58,0,24,1,0.000857912,0,0.00342368,0.000597372,0.005
Nicaragua,Low/Inactive,76,68,51,101,65,15,0,7,4,0.000221874,0,0.000998573,0.002389486,0.004
Kazakhstan,Low/Inactive,77,84,51,56,96,6,0,54,1,8.87495E-05,0,0.007703281,0.000597372,0.008
Bosnia and Herzegovina,Low/Inactive,78,101,51,85,52,2,0,13,7,2.95832E-05,0,0.001854494,0.004181601,0.006
Egypt,Low/Inactive,79,81,51,74,84,7,0,22,2,0.000103541,0,0.003138374,0.001194743,0.004
Costa Rica,Low/Inactive,80,70,51,88,84,12,0,12,2,0.000177499,0,0.00171184,0.001194743,0.003
Zambia,Low/Inactive,81,77,51,95,72,9,0,8,3,0.000133124,0,0.001141227,0.001792115,0.003
Georgia,Low/Inactive,82,112,51,77,59,1,0,19,5,1.47916E-05,0,0.002710414,0.002986858,0.006
Cyprus,Low/Inactive,82,128,14,73,84,0,0.018,23,2,0,0.025139665,0.003281027,0.001194743,0.03
Mauritius,Low/Inactive,84,112,51,81,56,1,0,17,6,1.47916E-05,0,0.002425107,0.003584229,0.006
Mauritania,Low/Inactive,85,84,51,95,72,6,0,8,3,8.87495E-05,0,0.001141227,0.001792115,0.003
Algeria,Low/Inactive,86,57,51,111,96,34,0,5,1,0.000502914,0,0.000713267,0.000597372,0.002
Panama,Low/Inactive,86,95,51,104,65,3,0,6,4,4.43748E-05,0,0.00085592,0.002389486,0.003
Kyrgyzstan,Low/Inactive,88,101,51,70,96,2,0,30,1,2.95832E-05,0,0.004279601,0.000597372,0.005
Poland,Low/Inactive,89,101,51,95,72,2,0,8,3,2.95832E-05,0,0.001141227,0.001792115,0.003
Uzbekistan,Low/Inactive,90,95,51,82,96,3,0,16,1,4.43748E-05,0,0.002282454,0.000597372,0.003
Kosovo,Low/Inactive,91,128,51,77,72,0,0,19,3,0,0,0.002710414,0.001792115,0.005
Paraguay,Low/Inactive,92,91,51,104,84,5,0,6,2,7.39579E-05,0,0.00085592,0.001194743,0.002
Guinea-Bissau,Low/Inactive,93,80,51,104,96,8,0,6,1,0.000118333,0,0.00085592,0.000597372,0.002
Tunisia,Low/Inactive,94,84,51,101,96,6,0,7,1,8.87495E-05,0,0.000998573,0.000597372,0.002
Argentina,Low/Inactive,95,95,51,95,96,3,0,8,1,4.43748E-05,0,0.001141227,0.000597372,0.002
Rwanda,Low/Inactive,96,73,51,89,125,10,0,11,0,0.000147916,0,0.001569187,0,0.002
Italy,Low/Inactive,96,128,51,75,84,0,0,21,2,0,0,0.00299572,0.001194743,0.004
Oman,Low/Inactive,98,73,51,120,96,10,0,3,1,0.000147916,0,0.00042796,0.000597372,0.001
Cuba,Low/Inactive,99,101,51,67,125,2,0,39,0,2.95832E-05,0,0.005563481,0,0.006
Lesotho,Low/Inactive,100,84,51,85,125,6,0,13,0,8.87495E-05,0,0.001854494,0,0.002
Comoros,Low/Inactive,101,101,51,111,84,2,0,5,2,2.95832E-05,0,0.000713267,0.001194743,0.002
Azerbaijan,Low/Inactive,102,101,51,71,125,2,0,25,0,2.95832E-05,0,0.003566334,0,0.004
Romania,Low/Inactive,102,128,51,104,65,0,0,6,4,0,0,0.00085592,0.002389486,0.003
Armenia,Low/Inactive,104,91,51,116,96,5,0,4,1,7.39579E-05,0,0.000570613,0.000597372,0.001
Namibia,Low/Inactive,105,84,51,95,125,6,0,8,0,8.87495E-05,0,0.001141227,0,0.001
Maldives,Low/Inactive,105,112,51,120,72,1,0,3,3,1.47916E-05,0,0.00042796,0.001792115,0.002
Jordan,Low/Inactive,107,73,51,162,72,10,0,0,3,0.000147916,0,0,0.001792115,0.002
Malaysia,Low/Inactive,108,95,51,120,96,3,0,3,1,4.43748E-05,0,0.00042796,0.000597372,0.001
Djibouti,Low/Inactive,109,71,51,145,96,11,0,1,1,0.000162707,0,0.000142653,0.000597372,0.001
Albania,Low/Inactive,109,112,51,104,96,1,0,6,1,1.47916E-05,0,0.00085592,0.000597372,0.001
North Macedonia,Low/Inactive,111,128,51,101,84,0,0,7,2,0,0,0.000998573,0.001194743,0.002
Belarus,Low/Inactive,112,101,51,89,125,2,0,11,0,2.95832E-05,0,0.001569187,0,0.002
Croatia,Low/Inactive,112,128,51,91,96,0,0,10,1,0,0,0.001426534,0.000597372,0.002
Liberia,Low/Inactive,114,101,51,120,96,2,0,3,1,2.95832E-05,0,0.00042796,0.000597372,0.001
United Kingdom,Low/Inactive,115,128,51,94,96,0,0,9,1,0,0,0.00128388,0.000597372,0.002
Sierra Leone,Low/Inactive,116,91,51,104,125,5,0,6,0,7.39579E-05,0,0.00085592,0,0.001
Guyana,Low/Inactive,117,101,51,95,125,2,0,8,0,2.95832E-05,0,0.001141227,0,0.001
Sweden,Low/Inactive,118,128,51,111,84,0,0,5,2,0,0,0.000713267,0.001194743,0.002
Mayotte,Low/Inactive,119,112,51,91,125,1,0,10,0,1.47916E-05,0,0.001426534,0,0.001
South Korea,Low/Inactive,119,128,51,116,84,0,0,4,2,0,0,0.000570613,0.001194743,0.002
North Korea,Low/Inactive,121,59,51,145,125,30,0,1,0,0.000443748,0,0.000142653,0,0.001
Saudi Arabia,Low/Inactive,122,91,51,145,96,5,0,1,1,7.39579E-05,0,0.000142653,0.000597372,0.001
Bahrain,Low/Inactive,123,128,51,111,96,0,0,5,1,0,0,0.000713267,0.000597372,0.001
Antigua and Barbuda,Low/Inactive,124,95,51,116,125,3,0,4,0,4.43748E-05,0,0.000570613,0,0.001
Bulgaria,Low/Inactive,125,128,51,120,96,0,0,3,1,0,0,0.00042796,0.000597372,0.001
Slovenia,Low/Inactive,125,128,51,120,96,0,0,3,1,0,0,0.00042796,0.000597372,0.001
Suriname,Low/Inactive,125,128,51,120,96,0,0,3,1,0,0,0.00042796,0.000597372,0.001
Finland,Low/Inactive,125,128,51,120,96,0,0,3,1,0,0,0.00042796,0.000597372,0.001
Gabon,Low/Inactive,129,112,51,111,125,1,0,5,0,1.47916E-05,0,0.000713267,0,0.001
Netherlands,Low/Inactive,130,112,51,116,125,1,0,4,0,1.47916E-05,0,0.000570613,0,0.001
Sint Maarten,Low/Inactive,130,112,51,145,96,1,0,1,1,1.47916E-05,0,0.000142653,0.000597372,0.001
Slovakia,Low/Inactive,132,112,51,120,125,1,0,3,0,1.47916E-05,0,0.00042796,0,0
Portugal,Low/Inactive,132,112,51,120,125,1,0,3,0,1.47916E-05,0,0.00042796,0,0
Gambia,Low/Inactive,132,112,51,120,125,1,0,3,0,1.47916E-05,0,0.00042796,0,0
Montenegro,Low/Inactive,132,128,51,133,96,0,0,2,1,0,0,0.000285307,0.000597372,0.001
Spain,Low/Inactive,132,128,51,104,125,0,0,6,0,0,0,0.00085592,0,0.001
Australia,Low/Inactive,132,128,51,133,96,0,0,2,1,0,0,0.000285307,0.000597372,0.001
Switzerland,Low/Inactive,132,128,51,133,96,0,0,2,1,0,0,0.000285307,0.000597372,0.001
Sao Tome and Principe,Low/Inactive,139,128,51,145,96,0,0,1,1,0,0,0.000142653,0.000597372,0.001
Austria,Low/Inactive,139,128,51,145,96,0,0,1,1,0,0,0.000142653,0.000597372,0.001
Botswana,Low/Inactive,141,112,51,133,125,1,0,2,0,1.47916E-05,0,0.000285307,0,0
Republic of Congo,Low/Inactive,141,112,51,133,125,1,0,2,0,1.47916E-05,0,0.000285307,0,0
New Caledonia,Low/Inactive,143,101,51,145,125,2,0,1,0,2.95832E-05,0,0.000142653,0,0
Vietnam,Low/Inactive,143,101,51,145,125,2,0,1,0,2.95832E-05,0,0.000142653,0,0
Belgium,Low/Inactive,145,128,51,120,125,0,0,3,0,0,0,0.00042796,0,0
Canada,Low/Inactive,145,128,51,120,125,0,0,3,0,0,0,0.00042796,0,0
Moldova,Low/Inactive,147,128,51,162,84,0,0,0,2,0,0,0,0.001194743,0.001
French Guiana,Low/Inactive,148,112,51,145,125,1,0,1,0,1.47916E-05,0,0.000142653,0,0
Turkmenistan,Low/Inactive,148,112,51,145,125,1,0,1,0,1.47916E-05,0,0.000142653,0,0
Czech Republic,Low/Inactive,150,128,51,133,125,0,0,2,0,0,0,0.000285307,0,0
Denmark,Low/Inactive,150,128,51,133,125,0,0,2,0,0,0,0.000285307,0,0
Norway,Low/Inactive,150,128,51,133,125,0,0,2,0,0,0,0.000285307,0,0
Ireland,Low/Inactive,150,128,51,133,125,0,0,2,0,0,0,0.000285307,0,0
Hungary,Low/Inactive,150,128,51,133,125,0,0,2,0,0,0,0.000285307,0,0
Bahamas,Low/Inactive,150,128,51,133,125,0,0,2,0,0,0,0.000285307,0,0
Fiji,Low/Inactive,150,128,51,133,125,0,0,2,0,0,0,0.000285307,0,0
United Arab Emirates,Low/Inactive,157,128,51,145,125,0,0,1,0,0,0,0.000142653,0,0
East Timor,Low/Inactive,157,128,51,145,125,0,0,1,0,0,0,0.000142653,0,0
French Polynesia,Low/Inactive,157,128,51,145,125,0,0,1,0,0,0,0.000142653,0,0
Eritrea,Low/Inactive,157,128,51,145,125,0,0,1,0,0,0,0.000142653,0,0
Bhutan,Low/Inactive,157,128,51,145,125,0,0,1,0,0,0,0.000142653,0,0
Cambodia,Low/Inactive,157,128,51,145,125,0,0,1,0,0,0,0.000142653,0,0
Saint Vincent and the Grenadines,Low/Inactive,157,128,51,145,125,0,0,1,0,0,0,0.000142653,0,0
Saint Lucia,Low/Inactive,164,112,51,162,125,1,0,0,0,1.47916E-05,0,0,0,0
Guadeloupe,Low/Inactive,165,128,51,162,125,0,0,0,0,0,0,0,0,0
